Fecha,Pozo,Dias,Qo mes (b),Qo prom. mes(bd),Qg mes (MMpc),Qg prom. mes (MMpcd),Qw mes (b),Qw prom. mes (bd),Fw (%),RGA (m3/m3),Días de Operación
01/03/1999,MOLOACÁN-398,31,130.68,4.22,0.13,0.00,65.64,2.12,33.43,172.16,31
01/03/1999,MOLOACÁN-399,31,130.68,4.22,0.19,0.01,393.82,12.70,75.09,258.24,31
01/03/1999,MOLOACÁN-4,31,198.96,6.42,0.12,0.00,22.07,0.71,9.99,111.47,31
01/03/1999,MOLOACÁN-406,31,130.68,4.22,0.06,0.00,57.63,1.86,30.61,86.08,31
01/03/1999,MOLOACÁN-407,31,130.68,4.22,0.13,0.00,57.63,1.86,30.61,172.16,31
01/03/1999,MOLOACÁN-408,31,261.35,8.43,0.13,0.00,33.52,1.08,11.37,86.08,31
01/03/1999,MOLOACÁN-409,31,74.01,2.39,0.07,0.00,90.75,2.93,55.08,164.09,17
01/03/1999,MOLOACÁN-410,31,166.42,5.37,0.11,0.00,388.23,12.52,70.00,117.63,17
01/03/1999,MOLOACÁN-414,31,83.25,2.69,0.05,0.00,25.72,0.83,23.60,115.14,31
01/03/1999,MOLOACÁN-415,31,83.25,2.69,0.11,0.00,22.61,0.73,21.36,230.28,31
01/03/1999,MOLOACÁN-416,31,298.97,9.64,0.25,0.01,265.62,8.57,47.05,149.38,31
01/03/1999,MOLOACÁN-418,31,180.25,5.81,0.11,0.00,108.22,3.49,37.52,113.42,31
01/03/1999,MOLOACÁN-421,31,261.35,8.43,0.06,0.00,17.92,0.58,6.42,43.04,31
01/03/1999,MOLOACÁN-422,31,130.68,4.22,0.06,0.00,1.32,0.04,1.00,86.08,31
01/03/1999,MOLOACÁN-428,31,83.25,2.69,0.05,0.00,45.89,1.48,35.54,115.14,31
01/03/1999,MOLOACÁN-431,31,83.25,2.69,0.11,0.00,260.06,8.39,75.75,230.28,31
01/03/1999,MOLOACÁN-432,31,392.03,12.65,0.13,0.00,16.07,0.52,3.94,57.39,31
01/03/1999,MOLOACÁN-434,31,130.68,4.22,0.13,0.00,1.58,0.05,1.20,172.16,31
01/03/1999,MOLOACÁN-435,31,130.68,4.22,0.13,0.00,10.94,0.35,7.72,172.16,31
01/03/1999,MOLOACÁN-437,31,130.68,4.22,0.13,0.00,0.53,0.02,0.40,172.16,31
01/03/1999,MOLOACÁN-438,31,130.68,4.22,0.06,0.00,175.03,5.65,57.25,86.08,31
01/03/1999,MOLOACÁN-439,31,166.51,5.37,0.16,0.01,7.92,0.26,4.54,172.71,31
01/03/1999,MOLOACÁN-440,31,207.65,6.70,0.17,0.01,139.31,4.49,40.15,147.69,31
01/03/1999,MOLOACÁN-442,31,929.81,29.99,0.86,0.03,"3,256.38",105.04,77.79,165.37,31
01/03/1999,MOLOACÁN-454,31,327.18,10.55,0.29,0.01,"1,326.38",42.79,80.21,155.67,31
01/03/1999,MOLOACÁN-455,31,130.68,4.22,0.06,0.00,13.24,0.43,9.20,86.08,31
01/03/1999,MOLOACÁN-457,31,83.25,2.69,0.05,0.00,16.60,0.54,16.62,115.14,31
01/03/1999,MOLOACÁN-459,31,653.38,21.08,0.44,0.01,47.61,1.54,6.79,120.51,31
01/03/1999,MOLOACÁN-461,31,333.20,10.75,0.34,0.01,"1,004.98",32.42,75.10,179.91,31
01/03/1999,MOLOACÁN-462,31,704.30,22.72,0.51,0.02,126.76,4.09,15.25,130.03,31
01/03/1999,MOLOACÁN-463,31,522.71,16.86,0.19,0.01,91.32,2.95,14.87,64.56,31
01/03/1999,MOLOACÁN-466,31,143.40,4.63,0.19,0.01,60.39,1.95,29.63,234.22,31
01/03/1999,MOLOACÁN-467,31,130.68,4.22,0.06,0.00,4.81,0.16,3.55,86.08,31
01/03/1999,MOLOACÁN-468,31,261.35,8.43,0.13,0.00,33.52,1.08,11.37,86.08,31
01/03/1999,MOLOACÁN-470,31,130.68,4.22,0.13,0.00,1.32,0.04,1.00,172.16,31
01/03/1999,MOLOACÁN-471,31,249.76,8.06,0.16,0.01,1.56,0.05,0.62,115.14,31
01/03/1999,MOLOACÁN-472,31,130.68,4.22,0.13,0.00,0.53,0.02,0.40,172.16,31
01/03/1999,MOLOACÁN-474,31,130.68,4.22,0.13,0.00,29.17,0.94,18.25,172.16,31
01/03/1999,MOLOACÁN-475,31,522.71,16.86,0.25,0.01,3.16,0.10,0.60,86.08,31
01/03/1999,MOLOACÁN-483,31,166.51,5.37,0.11,0.00,45.23,1.46,21.36,115.14,31
01/03/1999,MOLOACÁN-485,31,618.28,19.94,0.23,0.01,133.30,4.30,17.74,66.06,31
01/03/1999,MOLOACÁN-486,31,130.68,4.22,0.06,0.00,0.53,0.02,0.40,86.08,31
01/03/1999,MOLOACÁN-511,31,749.28,24.17,0.48,0.02,7.04,0.23,0.93,115.14,31
01/03/1999,MOLOACÁN-513,31,286.37,9.24,0.28,0.01,222.49,7.18,43.72,171.23,31
01/03/1999,MOLOACÁN-514,31,199.20,6.43,0.15,0.00,149.67,4.83,42.90,133.63,31
01/03/1999,MOLOACÁN-515,31,188.07,6.07,0.22,0.01,90.29,2.91,32.44,207.21,31
01/03/1999,MOLOACÁN-518,31,215.36,6.95,0.27,0.01,179.76,5.80,45.50,221.37,31
01/03/1999,MOLOACÁN-523,31,162.03,5.23,0.19,0.01,106.36,3.43,39.63,204.76,31
01/03/1999,MOLOACÁN-524,31,300.40,9.69,0.48,0.02,504.62,16.28,62.68,287.03,31
01/03/1999,MOLOACÁN-530,31,102.12,3.29,0.17,0.01,87.99,2.84,46.28,293.77,31
01/03/1999,MOLOACÁN-582,31,191.66,6.18,0.13,0.00,72.96,2.35,27.57,123.87,31
01/03/1999,MOLOACÁN-589,31,209.83,6.77,0.38,0.01,620.28,20.01,74.72,318.77,31
01/03/1999,MOLOACÁN-613,31,130.68,4.22,0.06,0.00,4.00,0.13,2.97,86.08,31
01/03/1999,MOLOACÁN-617,31,807.57,26.05,0.45,0.01,32.20,1.04,3.83,98.68,31
01/03/1999,MOLOACÁN-618,31,130.68,4.22,0.06,0.00,13.82,0.45,9.56,86.08,31
01/03/1999,MOLOACÁN-619,31,392.03,12.65,0.13,0.00,1.58,0.05,0.40,57.39,31
01/03/1999,MOLOACÁN-622,31,130.68,4.22,0.13,0.00,214.81,6.93,62.18,172.16,31
01/03/1999,MOLOACÁN-625,31,265.43,8.56,0.19,0.01,20.01,0.65,7.01,130.36,31
01/03/1999,MOLOACÁN-626,31,653.38,21.08,0.38,0.01,437.58,14.12,40.11,103.30,31
01/03/1999,MOLOACÁN-628,31,522.71,16.86,0.19,0.01,408.41,13.17,43.86,64.56,31
01/03/1999,MOLOACÁN-629,31,130.68,4.22,0.13,0.00,9.24,0.30,6.60,172.16,31
01/03/1999,MOLOACÁN-633,31,309.40,9.98,0.13,0.00,44.38,1.43,12.55,74.56,31
01/03/1999,MOLOACÁN-637,31,"1,041.54",33.60,0.38,0.01,87.56,2.82,7.75,65.45,31
01/03/1999,MOLOACÁN-638,31,136.83,4.41,0.16,0.01,233.82,7.54,63.08,205.96,31
01/03/1999,MOLOACÁN-640,31,530.86,17.12,0.26,0.01,490.06,15.81,48.00,86.91,31
01/03/1999,MOLOACÁN-641,31,392.03,12.65,0.19,0.01,87.52,2.82,18.25,86.08,31
01/03/1999,MOLOACÁN-646,31,130.68,4.22,0.13,0.00,6.73,0.22,4.90,172.16,31
01/03/1999,MOLOACÁN-648,31,261.35,8.43,0.19,0.01,51.93,1.68,16.58,129.12,31
01/03/1999,MOLOACÁN-656,31,486.05,15.68,0.43,0.01,313.51,10.11,39.21,158.08,31
01/03/1999,MOLOACÁN-661,31,612.23,19.75,0.42,0.01,629.23,20.30,50.68,122.62,29
01/03/1999,MOLOACÁN-667,31,130.68,4.22,0.19,0.01,8.96,0.29,6.42,258.24,31
01/03/1999,MOLOACÁN-676,31,522.71,16.86,0.25,0.01,700.13,22.58,57.25,86.08,31
01/03/1999,MOLOACÁN-680,31,130.68,4.22,0.19,0.01,393.82,12.70,75.09,258.24,31
01/03/1999,MOLOACÁN-681,31,130.68,4.22,0.13,0.00,175.03,5.65,57.25,172.16,31
01/03/1999,MOLOACÁN-686,31,522.71,16.86,0.38,0.01,700.13,22.58,57.25,129.12,31
01/03/1999,MOLOACÁN-689,31,261.35,8.43,0.38,0.01,592.13,19.10,69.38,258.24,31
01/03/1999,MOLOACÁN-690,31,392.03,12.65,0.44,0.01,172.90,5.58,30.61,200.85,31
01/03/1999,MOLOACÁN-694,31,745.80,24.06,0.83,0.03,559.78,18.06,42.88,198.21,29
01/03/1999,MOLOACÁN-699,31,130.68,4.22,0.13,0.00,65.64,2.12,33.43,172.16,31
01/03/1999,MOLOACÁN-701,31,578.37,18.66,0.21,0.01,121.83,3.93,17.40,64.24,31
01/03/1999,MOLOACÁN-705,31,274.70,8.86,0.18,0.01,129.24,4.17,32.00,113.68,31
01/03/1999,MOLOACÁN-713,31,261.35,8.43,0.19,0.01,5.30,0.17,1.99,129.12,31
01/03/1999,MOLOACÁN-716,31,130.68,4.22,0.13,0.00,112.52,3.63,46.27,172.16,31
01/03/1999,MOLOACÁN-719,31,130.68,4.22,0.06,0.00,16.76,0.54,11.37,86.08,31
01/03/1999,MOLOACÁN-8,31,83.25,2.69,0.11,0.00,22.61,0.73,21.36,230.28,31
01/03/1999,MOLOACÁN-801,31,412.14,13.29,0.22,0.01,8.37,0.27,1.99,93.65,31
