fecha_produccion,Produccion_barriles_t,prediction,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2004-01-01,344.6981428571427,337.9351674093012,534.67,178.22,519.0378767344733,176.35404580189444,6.762975447841541
2004-02-01,326.38927536231904,325.0158670867564,492.24,164.08,495.2030097703299,168.5635722419555,1.3734082755626673
2004-03-01,352.0268656716419,344.4796724225239,559.4,186.47,537.0170421018304,180.68584570221907,7.547193249117981
2004-04-01,330.5975757575758,338.0213215273213,531.11,177.04,534.9797308059035,180.95451597949327,-7.423745769745494
2004-05-01,343.64446153846166,336.3217536942726,561.75,187.25,542.7095969035786,181.00632321088142,7.32270784418904
2004-06-01,329.42430769230754,330.26334629690405,537.14,179.05,528.1537204126946,176.99153997420672,-0.8390386045965101
2004-07-01,324.56772727272744,329.3113103030811,532.46,177.49,543.8266933204313,182.5858882575808,-4.743583030353648
2004-08-01,326.9859677419355,331.1415697941512,516.34,172.11,532.9628751855895,178.56584610598517,-4.155602052215727
2004-09-01,329.758,328.7262282577941,514.04,171.35,510.12674297487996,170.06872506854745,1.0317717422058763
2004-10-01,338.55553846153833,342.4498133207756,530.91,176.97,539.6279805160164,178.55502189052717,-3.894274859237271
2004-11-01,322.9229508196721,326.9860874691576,522.12,174.04,509.5794024564765,174.48835169874502,-4.0631366494855
2004-12-01,337.48,326.2726378377387,550.1,183.37,530.0446068360066,176.03856022464856,11.20736216226129
2005-01-01,342.5584375000001,342.5745154656511,554.63,184.75399999999996,546.0598148484835,179.38527030856477,-0.016077965650993065
2005-02-01,305.0196923076923,314.1792787449365,506.88,168.96,510.63272887342185,168.53380383166757,-9.159586437244172
2005-03-01,327.73046153846155,323.84183891532416,570.1800000000001,186.2,554.5597853762504,183.19090504596085,3.888622623137394
2005-04-01,313.08292307692295,313.51227562132425,556.44,180.66,542.0857599457728,176.02391904827755,-0.4293525444012971
2005-05-01,325.04348484848475,327.0129179465789,570.075,181.82999999999998,558.8461812139527,184.77480316762353,-1.9694330980941572
2005-06-01,310.76484375000007,308.00162968535216,554.178,178.02,528.9240174090592,178.09114200147565,2.7632140646479115
2005-07-01,311.72062500000004,307.22420006643404,555.92,185.31,528.3471933003353,181.63596206008884,4.496424933566004
2005-08-01,312.50903225806456,310.2964282958169,547.88,173.117,544.1342923758793,178.1609832877565,2.2126039622476696
2005-09-01,288.7474137931035,300.72191600843837,517.66,161.546,513.3976479688487,175.4818001524531,-11.974502215334894
2005-10-01,308.1983050847459,304.6140190793357,547.84,182.61,542.6505452664478,180.56377781104732,3.584286005410206
2005-11-01,292.92516666666666,302.98143488844124,508.76000000000005,166.3,532.2292065901205,172.26322026815643,-10.056268221774587
2005-12-01,307.3686440677966,310.82678967633234,545.0680000000001,178.41999999999996,552.9923535072521,179.70362478704487,-3.4581456085357445
2006-01-01,320.4254545454544,312.79882607904875,555.74,185.25,564.3871829096962,177.71270289441338,7.626628466405634
2006-02-01,289.85250000000013,294.92494041106585,491.84,163.95,505.7841072124662,166.94825756946636,-5.072440411065713
2006-03-01,319.30655172413805,310.4395468567742,521.6340000000002,186.15,546.2499080195996,184.57246468470527,8.867004867363846
2006-04-01,326.9871929824561,311.3304571153364,556.386,184.94,546.3869620624812,180.1469893655302,15.656735867119721
2006-05-01,320.8863157894737,323.77259949959455,575.362,191.08,545.4322361967853,186.7611773837029,-2.8862837101208356
2006-06-01,295.1145,295.50676412749294,539.408,178.066,535.7669085230963,181.21825833789245,-0.39226412749292194
2006-07-01,287.884745762712,293.1578323855029,552.51,184.17,558.2614312656876,184.36318094517065,-5.273086622790913
2006-08-01,285.31145454545464,293.95193480168325,515.27,171.76,546.8112786331551,181.21504906096337,-8.640480256228614
2006-09-01,276.3892857142856,276.5072933139944,501.48,157.24,509.7335504960483,171.76532286420235,-0.11800759970878971
2006-10-01,268.05875000000015,284.1814073276097,474.74,155.31,488.54190237939207,176.04100890622374,-16.122657327609545
2006-11-01,290.84473684210536,278.6529277128682,528.86,176.29,501.37806340913943,167.49074441472212,12.191809129237186
2006-12-01,309.7214035087719,299.7381711682174,561.194,183.8,537.8098524375071,181.2476239027426,9.983232340554537
2007-01-01,281.5689830508475,296.58579911045575,513.8620000000001,170.91,528.5873314841596,180.26157591172455,-15.016816059608232
2007-02-01,275.9106779661016,274.6653285305152,515.846,171.92,503.1361250567562,166.65034039682527,1.2453494355864336
2007-03-01,290.5691935483872,285.4445724202098,563.8000000000001,187.87,538.889936950871,181.66388255452145,5.1246211281774094
2007-04-01,285.16225806451627,283.9404169879868,551.3900000000001,183.62,545.133218615043,181.36475246711552,1.221841076529472
2007-05-01,298.2582258064518,288.5691219566329,574.11,191.37,557.1744032796593,184.28271912907258,9.689103849818878
2007-06-01,282.3750793650794,285.1460641460682,537.76,179.25,546.3339888929065,181.75564080651077,-2.77098478098884
2007-07-01,291.16145161290336,291.7005689710822,558.06,186.02,563.1667832870503,186.89096534037918,-0.539117358178828
2007-08-01,294.378,287.9865522070473,543.2460000000001,186.02,556.6652733421766,183.50754970298303,6.391447792952704
2007-09-01,278.85344262295087,286.410209415562,484.32,178.43,538.0710121514811,183.02023956474648,-7.556766792611143
2007-10-01,279.4436666666665,281.69678619326555,521.342,169.81500000000003,531.7754996390565,180.20815029217067,-2.2531195265990505
2007-11-01,290.8416666666669,278.3847887940246,528.844,182.29,514.6046388974928,175.05168360717818,12.456877872642337
2007-12-01,292.27877192982436,286.4853997905856,535.74,185.07,547.3787846997163,184.55419669067328,5.793372139238784
