fecha_produccion,Produccion_gasMMpc_t,prediction_gas,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2004-01-01,0.18771428571428564,0.18739032032331923,0.301,0.1,0.301474951119685,0.09993252517471155,0.00032396539096640753
2004-02-01,0.17492753623188398,0.17432896205338944,0.27,0.09,0.27001651837571083,0.08990164062303682,0.0005985741784945431
2004-03-01,0.18910447761194032,0.18571277476755393,0.31,0.1,0.30703751176402094,0.10010898788789499,0.0033917028443863906
2004-04-01,0.18030303030303024,0.18238843032188354,0.315,0.1,0.31480652926569286,0.09448402984017028,-0.002085400018853295
2004-05-01,0.18399999999999989,0.18365497337163306,0.306,0.1,0.32980575093495207,0.09986228748292375,0.00034502662836682907
2004-06-01,0.17846153846153842,0.1779607274811283,0.3,0.09,0.29985069045219953,0.08999994970207506,0.0005008109804101324
2004-07-01,0.16666666666666663,0.16979077831211847,0.27,0.09,0.28618303020171026,0.08970664484904142,-0.0031241116454518436
2004-08-01,0.15967741935483876,0.15846393911121562,0.28,0.09,0.2764184274082896,0.0891259343663872,0.0012134802436231384
2004-09-01,0.1644615384615384,0.16532662473500975,0.30200000000000005,0.09,0.28602380357132834,0.08957340234325813,-0.0008650862734713438
2004-10-01,0.17061538461538467,0.17125905618829496,0.31800000000000006,0.09,0.3163018624523708,0.09025312522168578,-0.0006436715729102871
2004-11-01,0.16885245901639342,0.1681966843886536,0.3,0.09,0.3011006764445686,0.08972092818363947,0.0006557746277398302
2004-12-01,0.17474576271186446,0.17269464741026433,0.32200000000000006,0.1,0.30482164258296285,0.09907249172359446,0.002051115301600126
2005-01-01,0.17249999999999996,0.17302151654566583,0.31,0.1,0.30540457965329937,0.09961496539025437,-0.0005215165456658732
2005-02-01,0.1561538461538461,0.16002150035041793,0.28,0.09,0.28120982009089357,0.0900352831753066,-0.0038676541965718403
2005-03-01,0.172,0.16944537344947705,0.31,0.1,0.309785077341128,0.09949785452330401,0.002554626550522937
2005-04-01,0.16707692307692307,0.16631163429599105,0.3,0.1,0.30106727415492573,0.0976729170751591,0.0007652887809320164
2005-05-01,0.1707575757575757,0.17002411046030164,0.3,0.1,0.29914877617963487,0.09952554938657429,0.0007334652972740552
2005-06-01,0.16343750000000007,0.1626596005922699,0.3,0.1,0.2820794164297651,0.09919885062901872,0.0007778994077301815
2005-07-01,0.17046875000000003,0.16860807438602168,0.31700000000000006,0.10999999999999999,0.3073675533673383,0.10760985579535565,0.0018606756139783465
2005-08-01,0.167258064516129,0.16620711147812403,0.30199999999999994,0.1,0.2886383267248924,0.09947470568733913,0.0010509530380049814
2005-09-01,0.15551724137931028,0.15633198156525036,0.29,0.09,0.29005892570118574,0.09102378140768469,-0.0008147401859400771
2005-10-01,0.16406779661016951,0.16493724028778228,0.29400000000000004,0.1,0.3067387929892615,0.09988528752282323,-0.000869443677612769
2005-11-01,0.15666666666666665,0.15738034680089596,0.28300000000000003,0.09,0.29063717637780034,0.08999439732104489,-0.0007136801342293164
2005-12-01,0.17067796610169492,0.17092727964248658,0.32200000000000006,0.1,0.3129356382791287,0.09996620860074112,-0.00024931354079166246
2006-01-01,0.17254545454545453,0.17087475290573345,0.3340000000000001,0.1,0.32380945731597227,0.09751231744241803,0.0016707016397210783
2006-02-01,0.1564285714285714,0.15633127595968352,0.3,0.09,0.2995753301250824,0.08967786924075583,9.729546888787022e-05
2006-03-01,0.17086206896551726,0.1703757513640377,0.32300000000000006,0.1,0.31947563184388245,0.10475864980958241,0.0004863176014795467
2006-04-01,0.1645614035087719,0.16626010244899905,0.30399999999999994,0.1,0.30647688446310284,0.10002278794475272,-0.0016986989402271446
2006-05-01,0.1612280701754386,0.16077110798981142,0.32399999999999995,0.1,0.31951899703186437,0.10005289693963845,0.0004569621856271855
2006-06-01,0.1468333333333333,0.14568544738762162,0.3,0.099,0.28530883976003507,0.09624698654097211,0.001147885945711663
2006-07-01,0.1477966101694915,0.14523793179516595,0.29400000000000004,0.1,0.2909548479004997,0.09984902377838062,0.0025586783743255515
2006-08-01,0.1394545454545454,0.14306134260280812,0.28,0.09,0.28142110430187084,0.09072431814985843,-0.0036067971482627303
2006-09-01,0.1399999999999999,0.14056091546552368,0.27,0.09,0.2706060581934797,0.09032635459246507,-0.0005609154655237814
2006-10-01,0.14249999999999993,0.14501771865860785,0.28,0.09,0.2802674096296845,0.09022093552882536,-0.0025177186586079203
2006-11-01,0.14929824561403504,0.1498082507618463,0.2679999999999999,0.1,0.2951014297135635,0.0966529633083969,-0.000510005147811271
2006-12-01,0.1596491228070176,0.1582592923372342,0.32,0.1,0.31338247681604625,0.10076174348211614,0.0013898304697833874
2007-01-01,0.14610169491525415,0.14774087697766908,0.29,0.1,0.29076671567398754,0.09972555418713715,-0.0016391820624149234
2007-02-01,0.1420338983050847,0.14213163550511004,0.292,0.09,0.2917560477454987,0.0890975039929984,-9.773720002534403e-05
2007-03-01,0.15209677419354833,0.15127441109128398,0.31899999999999995,0.1,0.3031291941670569,0.09877680598533725,0.0008223631022643563
2007-04-01,0.1501612903225806,0.14946493369792624,0.31799999999999995,0.1,0.3139203308263476,0.09907723337452079,0.0006963566246543651
2007-05-01,0.15612903225806454,0.15584594635179563,0.31699999999999995,0.10999999999999999,0.3164697024610431,0.10876380702804753,0.0002830859062689095
2007-06-01,0.14619047619047615,0.1486669400719773,0.27800000000000025,0.1,0.2890576850479417,0.09944369823461677,-0.002476463881501162
