index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
423,MOLOACAN-422,ENCANTO,ENCT,FMN,221,570,MR
424,MOLOACAN-423,CONCEPCION SUPERIOR,CNSR,FMN,0,120,MR
425,MOLOACAN-423,CONCEPCION INFERIOR,CNIR,FMN,120,205,MR
426,MOLOACAN-423,ENCANTO,ENCT,FMN,205,505,MR
427,MOLOACAN-423,DEPOSITO,DPST,FMN,505,572,MR
428,MOLOACAN-423,ANHIDRITA,ANHI,FMN,572,573,MR
429,MOLOACAN-424,CONCEPCION SUPERIOR,CNSR,FMN,0,164,MR
430,MOLOACAN-424,CONCEPCION INFERIOR,CNIR,FMN,164,277,MR
431,MOLOACAN-424,ENCANTO,ENCT,FMN,277,750,MR
432,MOLOACAN-425,CONCEPCION SUPERIOR,CNSR,FMN,0,165,MR
433,MOLOACAN-425,CONCEPCION INFERIOR,CNIR,FMN,165,287,MR
434,MOLOACAN-425,ENCANTO,ENCT,FMN,287,287,MR
435,MOLOACAN-425,DEPOSITO,DPST,FMN,732,750,MR
436,MOLOACAN-427,CONCEPCION SUPERIOR,CNSR,FMN,0,203,MR
