index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
159,MOLOACAN-326,ENCANTO,ENCT,FMN,216,560,MR
160,MOLOACAN-327,CONCEPCION SUPERIOR,CNSR,FMN,0,155,MR
161,MOLOACAN-327,ENCANTO,ENCT,FMN,155,624,MR
162,MOLOACAN-327,OLIGOCENO,OLGN,FMN,624,650,MR
163,MOLOACAN-328,FILISOLA,FLSL,FMN,0,263,MR
164,MOLOACAN-328,ENCANTO,ENCT,FMN,263,693,MR
165,MOLOACAN-328,OLIGOCENO,OLGN,FMN,693,811,MR
166,MOLOACAN-328,ANHIDRITA,ANHI,FMN,811,816,MR
167,MOLOACAN-329,CONCEPCION INFERIOR,CNIR,FMN,0,173,MR
168,MOLOACAN-329,ENCANTO,ENCT,FMN,173,600,MR
169,MOLOACAN-330,CONCEPCION SUPERIOR,CNSR,FMN,0,184,MR
170,MOLOACAN-330,ENCANTO,ENCT,FMN,184,580,MR
171,MOLOACAN-331,CONCEPCION SUPERIOR,CNSR,FMN,0,125,MR
172,MOLOACAN-331,CONCEPCION INFERIOR,CNIR,FMN,125,250,MR
173,MOLOACAN-331,ENCANTO,ENCT,FMN,250,610,MR
174,MOLOACAN-332,CONCEPCION SUPERIOR,CNSR,FMN,0,134,MR
175,MOLOACAN-332,CONCEPCION INFERIOR,CNIR,FMN,134,254,MR
176,MOLOACAN-332,ENCANTO,ENCT,FMN,254,739,MR
177,MOLOACAN-332,OLIGOCENO,OLGN,FMN,739,800,MR
178,MOLOACAN-333,CONCEPCION SUPERIOR,CNSR,FMN,0,177,MR
179,MOLOACAN-333,CONCEPCION INFERIOR,CNIR,FMN,177,306,MR
180,MOLOACAN-333,ENCANTO,ENCT,FMN,306,550,MR
181,MOLOACAN-334,FILISOLA,FLSL,FMN,0,245,MR
182,MOLOACAN-334,CONCEPCION INFERIOR,CNIR,FMN,245,390,MR
183,MOLOACAN-334,ENCANTO,ENCT,FMN,390,800,MR
184,MOLOACAN-335,CONCEPCION SUPERIOR,CNSR,FMN,0,230,MR
185,MOLOACAN-335,CONCEPCION INFERIOR,CNIR,FMN,230,365,MR
186,MOLOACAN-335,ENCANTO,ENCT,FMN,365,600,MR
187,MOLOACAN-336,CONCEPCION SUPERIOR,CNSR,FMN,0,230,MR
188,MOLOACAN-336,CONCEPCION INFERIOR,CNIR,FMN,230,375,MR
189,MOLOACAN-336,ENCANTO,ENCT,FMN,375,550,MR
190,MOLOACAN-337,CONCEPCION SUPERIOR,CNSR,FMN,0,138,MR
191,MOLOACAN-337,CONCEPCION INFERIOR,CNIR,FMN,138,262,MR
192,MOLOACAN-337,ENCANTO,ENCT,FMN,262,625,MR
193,MOLOACAN-338,CONCEPCION SUPERIOR,CNSR,FMN,0,200,MR
194,MOLOACAN-338,CONCEPCION INFERIOR,CNIR,FMN,200,325,MR
195,MOLOACAN-338,ENCANTO,ENCT,FMN,325,800,MR
196,MOLOACAN-338D,CONCEPCION SUPERIOR,CNSR,FMN,0,200,MR
197,MOLOACAN-338D,CONCEPCION INFERIOR,CNIR,FMN,200,325,MR
198,MOLOACAN-338D,ENCANTO,ENCT,FMN,325,470,MR
199,MOLOACAN-339,CONCEPCION INFERIOR,CNIR,FMN,0,145,MR
200,MOLOACAN-339,ENCANTO,ENCT,FMN,145,550,MR
201,MOLOACAN-340,CONCEPCION SUPERIOR,CNIR,FMN,0,139,MR
202,MOLOACAN-340,ENCANTO,ENCT,FMN,139,550,MR
203,MOLOACAN-341,CONCEPCION SUPERIOR,CNSR,FMN,0,224,MR
204,MOLOACAN-341,ENCANTO,ENCT,FMN,224,650,MR
205,MOLOACAN-342,CONCEPCION SUPERIOR,CNSR,FMN,0,139,MR
206,MOLOACAN-342,ENCANTO,ENCT,FMN,139,500,MR
207,MOLOACAN-343,CONCEPCION SUPERIOR,CNSR,FMN,0,113,MR
208,MOLOACAN-343,ENCANTO,ENCT,FMN,113,550,MR
209,MOLOACAN-344,CONCEPCION INFERIOR,CNIR,FMN,0,148,MR
210,MOLOACAN-344,ENCANTO,ENCT,FMN,148,550,MR
211,MOLOACAN-345,CONCEPCION SUPERIOR,CNSR,FMN,0,210,MR
212,MOLOACAN-345,ENCANTO,ENCT,FMN,210,600,MR
213,MOLOACAN-346,CONCEPCION SUPERIOR,CNSR,FMN,0,227,MR
214,MOLOACAN-346,ENCANTO,ENCT,FMN,227,600,MR
215,MOLOACAN-347,CONCEPCION SUPERIOR,CNSR,FMN,0,153,MR
216,MOLOACAN-347,CONCEPCION INFERIOR,CNIR,FMN,153,267,MR
217,MOLOACAN-347,ENCANTO,ENCT,FMN,267,700,MR
218,MOLOACAN-348,CONCEPCION SUPERIOR,CNSR,FMN,0,220,MR
219,MOLOACAN-348,ENCANTO,ENCT,FMN,220,600,MR
220,MOLOACAN-349,CONCEPCION SUPERIOR,CNSR,FMN,0,224,MR
221,MOLOACAN-349,ENCANTO,ENCT,FMN,224,675,MR
222,MOLOACAN-350,CONCEPCION SUPERIOR,CNSR,FMN,0,75,MR
