NOMBRE_DEL_POZO,CIMA_(md),BASE_(md),NIVEL_DE_REFERENCIA,POROSIDAD_(%),VOLUMEN_DE_ARCILLA_(%),SATURACION_DE_AGUA_(%),FORMACION_GEOLOGICA,COMENTARIOS,
MOLOACAN-337,392,400,MR,24,SIN INFORMACION,22,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-337,412,417,MR,25,SIN INFORMACION,27,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-338,310,315,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-338,377,380,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-338,453,463,MR,14,SIN INFORMACION,21,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-339,263,266,MR,27,SIN INFORMACION,31,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-339,318,322,MR,36,SIN INFORMACION,26,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-339,431,435,MR,33,SIN INFORMACION,18,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-339,445,450,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-339,492,500,MR,32,SIN INFORMACION,20,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-340,325,336,MR,24,SIN INFORMACION,27,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-340,398,400,MR,30,SIN INFORMACION,29,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-340,426,433,MR,25,SIN INFORMACION,28,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-340,439,444,MR,28,SIN INFORMACION,40,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-340,474,478,MR,25,SIN INFORMACION,35,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-341,335,337,MR,16,SIN INFORMACION,23,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,344,350,MR,17,SIN INFORMACION,32,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,353,357,MR,15,SIN INFORMACION,25,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,360,364,MR,16,SIN INFORMACION,15,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,399,403,MR,19,SIN INFORMACION,22,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,405,409,MR,20,SIN INFORMACION,12,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,423,427,MR,17,SIN INFORMACION,35,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,510,520,MR,23,SIN INFORMACION,22,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,530,532,MR,19,SIN INFORMACION,33,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,557,560,MR,27,SIN INFORMACION,29,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-341,572,583,MR,19,SIN INFORMACION,17,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-342,204,207,MR,19,SIN INFORMACION,29,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-342,255,257,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-342,258,260,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-342,265,270,MR,19,SIN INFORMACION,43,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-342,331,333,MR,26,SIN INFORMACION,32,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-342,382,384,MR,27,SIN INFORMACION,37,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-342,422,432,MR,27,SIN INFORMACION,34,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-343,240,253,MR,18,SIN INFORMACION,16,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-343,413,415,MR,27,SIN INFORMACION,45,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-343,418,421,MR,23,SIN INFORMACION,26,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-343,424,426,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-343,428,431,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-343,451,463,MR,24,SIN INFORMACION,31,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-344,265,274,MR,15,SIN INFORMACION,12,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-344,279,280,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-344,301,310,MR,26,SIN INFORMACION,31,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-344,375,377,MR,29,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-344,379,382,MR,27,SIN INFORMACION,34,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-344,433,446,MR,32,SIN INFORMACION,28,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-344,481,488,MR,27,SIN INFORMACION,36,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-345,395,397,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-345,407,409,MR,27,SIN INFORMACION,20,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-345,441,460,MR,27,SIN INFORMACION,26,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-346,448,455,MR,24,SIN INFORMACION,25,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-346,503,518,MR,26,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-347,428,443,MR,26,SIN INFORMACION,20,ENCANTO,PRODUCTOR DE ACEITE,
MOLOACAN-347,573,576,MR,15,SIN INFORMACION,21,ENCANTO,GAS ABATIMIENTO DE PRESION,
MOLOACAN-347,629,635,MR,15,SIN INFORMACION,28,ENCANTO,CERRADO POR IAS,
MOLOACAN-348,222,233,MR,24,SIN INFORMACION,18,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-348,245,247,MR,20,SIN INFORMACION,22,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-348,283,285,MR,24,SIN INFORMACION,18,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-349,334,343,MR,20,SIN INFORMACION,14,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-349,373,378,MR,18,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-349,386,395,MR,17,SIN INFORMACION,20,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-349,402,404,MR,19,SIN INFORMACION,29,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-350,314,322,MR,20,SIN INFORMACION,27,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-350,324,328,MR,19,SIN INFORMACION,23,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-350,346,351,MR,25,SIN INFORMACION,29,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-350,414,417,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-350,420,422,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-350,462,465,MR,29,SIN INFORMACION,34,ENCANTO,PRODUCTOR DE ACEITE LIMPIO,
MOLOACAN-351,333,338,MR,16,SIN INFORMACION,16,ENCANTO,SIN DATOS,
MOLOACAN-351,346,350,MR,13,SIN INFORMACION,27,ENCANTO,EXPLOTAR POR B.M.,
MOLOACAN-351,353,359,MR,14,SIN INFORMACION,23,ENCANTO,EXPLOTAR POR B.M.,
MOLOACAN-351,401,413,MR,14,SIN INFORMACION,31,ENCANTO,OPERO CON B.M.,
MOLOACAN-351,521,530,MR,17,SIN INFORMACION,29,ENCANTO,PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-352,409,410,MR,21,SIN INFORMACION,23,ENCANTO,OBSERVO POZO DESALOJANDO ACEITE POR BOMBEO MECANICO, 
MOLOACAN-352,418,426,MR,15,SIN INFORMACION,19,ENCANTO,OBSERVO POZO DESALOJANDO ACEITE POR BOMBEO MECANICO, 
MOLOACAN-352,487,494,MR,23,SIN INFORMACION,20,ENCANTO,OPERO CON BOMBEO MECANICO, 
MOLOACAN-352,502,505,MR,22,SIN INFORMACION,15,ENCANTO,OPERO CON BOMBEO MECANICO,
MOLOACAN-352,572,582,MR,27,SIN INFORMACION,21,ENCANTO,OB. POZO FLUYENDO POR QUEMADOR,
MOLOACAN-353,570,573,MR,25,SIN INFORMACION,24,ENCANTO,SOLO SE TIENE UN EXPEDIENTE,
MOLOACAN-354,242,247,MR,28,SIN INFORMACION,20,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-354,252,260,MR,30,SIN INFORMACION,18,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-354,354,355,MR,25,SIN INFORMACION,40,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-354,367,369,MR,28,SIN INFORMACION,40,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-354,415,423,MR,30,SIN INFORMACION,25,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-354,425,427,MR,30,SIN INFORMACION,25,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-354,429,433,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-354,435,440,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATOS, 
MOLOACAN-354,475,488,MR,29,SIN INFORMACION,32,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-355,277,288,MR,21,SIN INFORMACION,31,ENCANTO,PRODUCTOR DE ACEITE,
MOLOACAN-355,375,377,MR,23,SIN INFORMACION,36,ENCANTO,PRODUCTOR DE ACEITE LIMPIO,
MOLOACAN-355,405,410,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,APORTO GAS,
MOLOACAN-356,475,488,MR,21,SIN INFORMACION,26,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-356,447,453,MR,27,SIN INFORMACION,34,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-356,432,445,MR,27,SIN INFORMACION,44,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-356,340,346,MR,28,SIN INFORMACION,28,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-356,410,417,MR,26,SIN INFORMACION,20,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-356,300,306,MR,22,SIN INFORMACION,20,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-356,290,294,MR,22,SIN INFORMACION,17,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-357,422,429,MR,18,SIN INFORMACION,22,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-357,429,432,MR,14,SIN INFORMACION,28,ENCANTO,INTERVALO AGREGADO PARA INYECCION,
MOLOACAN-357,435,440,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO AGREGADO PARA INYECCION,
MOLOACAN-357,478,485,MR,21,SIN INFORMACION,29,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-358,511,525,MR,28,SIN INFORMACION,16,ENCANTO,CERRADO POR BR,
MOLOACAN-358,480,491,MR,24,SIN INFORMACION,44,ENCANTO,DESALOJO ACEITE Y GAS,
MOLOACAN-358,455,473,MR,23,SIN INFORMACION,32,ENCANTO,DESALOJO ACEITE Y GAS,
MOLOACAN-358,392,396,MR,24,SIN INFORMACION,29,ENCANTO,SIN DATOS,
MOLOACAN-358,365,377,MR,17,SIN INFORMACION,61,ENCANTO,SIN DATOS,
MOLOACAN-358,332,336,MR,14,SIN INFORMACION,55,ENCANTO,SIN DATOS,
MOLOACAN-359,258,261,MR,21,SIN INFORMACION,28,ENCANTO,OBSERVO POZO FLUYENDO ACEITE Y GAS A LA BATERIA, 
MOLOACAN-359,267,283,MR,19,SIN INFORMACION,20,ENCANTO,OBSERVO POZO FLUYENDO CON INTERMITENCIAS A LA BATERIA, 
MOLOACAN-359,320,324,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,OBSERVO POZO FLUYENDO CON INTERMITENCIAS A LA BATERIA, 
MOLOACAN-359,393,406,MR,23,SIN INFORMACION,31,ENCANTO,INTERVALO PRODUCTOR DE ACEITE, 
MOLOACAN-359,439,448,MR,24,SIN INFORMACION,14,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-360,370,380,MR,19,SIN INFORMACION,16,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-360,436,443,MR,20,SIN INFORMACION,20,ENCANTO,INTERVALO ARENADO,
MOLOACAN-360,453,462,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-361,361,397,MR,26,SIN INFORMACION,21,ENCANTO,OPERA CON BM,
MOLOACAN-361,361,457,MR,15,SIN INFORMACION,47,ENCANTO,AISLADO POR AGUA SALADA,
MOLOACAN-362,232,235,MR,21,SIN INFORMACION,30,ENCANTO,BAJA RECUPERACION,
MOLOACAN-362,279,282,MR,27,SIN INFORMACION,29,ENCANTO,BAJA RECUPERACION,
MOLOACAN-362,352,355,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SE DISPARO POR ERROR,
MOLOACAN-362,377,379,MR,33,SIN INFORMACION,40,ENCANTO,BAJA RECUPERACION,
MOLOACAN-362,415,420,MR,28,SIN INFORMACION,35,ENCANTO,OP. POR REC. SECUNDARIA,
MOLOACAN-363,271,285,MR,19,SIN INFORMACION,16,ENCANTO,POCO ACEITE,
MOLOACAN-363,285,291,MR,19,SIN INFORMACION,15,ENCANTO,SIN DATOS,
MOLOACAN-364,228,232,MR,14,SIN INFORMACION,35,ENCANTO,POCO ACEITE,
MOLOACAN-364,297,300,MR,17,SIN INFORMACION,37,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-364,305,308,MR,16,SIN INFORMACION,39,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-365,260,270,MR,17,SIN INFORMACION,15,ENCANTO,PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-366,445,453,MR,19,SIN INFORMACION,23,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-366,372,376,MR,25,SIN INFORMACION,21,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-366,352,357,MR,13,SIN INFORMACION,21,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-366,344,349,MR,18,SIN INFORMACION,26,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-367,256,260,MR,24,SIN INFORMACION,18,ENCANTO,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-367,282,290,MR,20,SIN INFORMACION,22,ENCANTO,INTERVALO PRODUCTOR DE ACEITE Y GAS,
MOLOACAN-367,348,369,MR,18,SIN INFORMACION,35,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-368,508,520,MR,18,SIN INFORMACION,40,ENCANTO,APORTO ACEITE LIMPIO CON GAS LIFT,
MOLOACAN-368,473,475,MR,15,SIN INFORMACION,45,ENCANTO,APAREJO DE BOMBEO NEUMATICO,
MOLOACAN-368,445,447,MR,17,SIN INFORMACION,26,ENCANTO,APAREJO DE BOMBEO NEUMATICO,
MOLOACAN-368,413,415,MR,20,SIN INFORMACION,30,ENCANTO,APAREJO DE BOMBEO NEUMATICO,
MOLOACAN-368,393,396,MR,17,SIN INFORMACION,42,ENCANTO,APAREJO DE BOMBEO NEUMATICO,
MOLOACAN-369,365,372,MR,23,SIN INFORMACION,20,ENCANTO,ACEITE VISCOSO,
MOLOACAN-369,501,505,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-369,517,521,MR,14,SIN INFORMACION,60,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-369,526,531,MR,21,SIN INFORMACION,41,ENCANTO,ABATIMIENTO DE NIVEL,
MOLOACAN-369,550,553,MR,22,SIN INFORMACION,26,ENCANTO,ABATIMIENTO DE NIVEL,
MOLOACAN-369,571,581,MR,19,SIN INFORMACION,26,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-370,352,356,MR,16,SIN INFORMACION,19,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-370,360,362,MR,15,SIN INFORMACION,22,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-370,470,475,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-370,480,486,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-370,524,534,MR,29,SIN INFORMACION,13,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-371,430,436,MR,22,SIN INFORMACION,5,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-371,410,417,MR,35,SIN INFORMACION,4,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-371,371,373,MR,51,SIN INFORMACION,21,ENCANTO,SIN DATOS,
MOLOACAN-371,352,353,MR,41,SIN INFORMACION,19,ENCANTO,SIN DATOS,
MOLOACAN-371,347,349,MR,45,SIN INFORMACION,19,ENCANTO,SIN DATOS,
MOLOACAN-372,506,508,MR,21,SIN INFORMACION,54,ENCANTO,"SAL=476,000 PPM",
MOLOACAN-372,447,455,MR,21,SIN INFORMACION,26,ENCANTO,"SAL=112,000 PPM",
MOLOACAN-372,437,443,MR,21,SIN INFORMACION,26,ENCANTO,POZO TERMINADO CON BOMBEO MECANICO,
MOLOACAN-373,494,497,MR,16,SIN INFORMACION,42,ENCANTO,ACTUALMENTE POZO TAPONADO POR ENCONTRARSE EN ZONA POBLADA, 
MOLOACAN-373,478,482,MR,17,SIN INFORMACION,31,ENCANTO,ACTUALMENTE POZO TAPONADO POR ENCONTRARSE EN ZONA POBLADA, 
MOLOACAN-374,248,254,MR,27,SIN INFORMACION,34,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-374,411,429,MR,23,SIN INFORMACION,45,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-375,396,405,MR,26,SIN INFORMACION,41,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-375,438,443,MR,33,SIN INFORMACION,36,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-376,357,361,MR,25,SIN INFORMACION,39,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-376,385,399,MR,25,SIN INFORMACION,39,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-377,295,300,MR,14,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-377,330,332,MR,18,SIN INFORMACION,40,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-377,353,370,MR,20,SIN INFORMACION,35,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-378,355,367,MR,17,SIN INFORMACION,46,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-378,394,396,MR,12,SIN INFORMACION,35,ENCANTO,SIN DATOS,
MOLOACAN-378,401,415,MR,21,SIN INFORMACION,35,ENCANTO,OPERO CON B.M.,
MOLOACAN-378,421,424,MR,20,SIN INFORMACION,43,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-378,634,643,MR,21,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-378,643,644,MR,15,SIN INFORMACION,51,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-379,415,426,MR,18,SIN INFORMACION,45,ENCANTO,"Np= 1,510 BLS",
MOLOACAN-380,287,290,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,TAPONADO,
MOLOACAN-380,308,311,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,TAPONADO,
MOLOACAN-381,317,320,MR,25,SIN INFORMACION,28,ENCANTO,ACTUALMENTE POZO TAPONADO POR EXPLOTACION PRIMARIA Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-381,607,613,MR,20,SIN INFORMACION,27,ENCANTO,ACTUALMENTE POZO TAPONADO POR EXPLOTACION PRIMARIA Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-383,665,672,MR,17,SIN INFORMACION,33,ENCANTO,ACTUALMENTE POZO TAPONADO POR EXPLOTACION PRIMARIA Y NO TENER INTERVALOS PENDIENTES DE EXPLOTAR, 
MOLOACAN-384,328,331,MR,14,SIN INFORMACION,56,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE, 
MOLOACAN-384,352,355,MR,18,SIN INFORMACION,52,ENCANTO,INTERVALO SIN PRODUCCION REPORTADA / IAS,
MOLOACAN-384,384,391,MR,17,SIN INFORMACION,41,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-384,395,397,MR,17,SIN INFORMACION,33,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-384,401,404,MR,18,SIN INFORMACION,55,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-384,452,455,MR,18,SIN INFORMACION,55,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-385,207,219,MR,18,SIN INFORMACION,14,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-385,222,225,MR,23,SIN INFORMACION,15,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-385,235,238,MR,16,SIN INFORMACION,27,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-385,354,362,MR,18,SIN INFORMACION,34,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-385,366,368,MR,32,SIN INFORMACION,16,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-385,371,376,MR,18,SIN INFORMACION,43,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-385,386,388,MR,18,SIN INFORMACION,34,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-385,404,406,MR,18,SIN INFORMACION,34,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-385,419,423,MR,25,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-385,420,426,MR,25,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-386,391,394,MR,15,SIN INFORMACION,60,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-386,258,266,MR,18,SIN INFORMACION,18,ENCANTO,NO APORTO,
MOLOACAN-386,249,252,MR,15,SIN INFORMACION,15,ENCANTO,NO APORTO,
MOLOACAN-386,241,243,MR,20,SIN INFORMACION,20,ENCANTO,NO APORTO,
MOLOACAN-387,355,365,MR,16,SIN INFORMACION,41,ENCANTO,ACEITE Y POCO GAS POR B.M.,
MOLOACAN-387,386,394,MR,20,SIN INFORMACION,39,ENCANTO,DESALOJO ACEITE CON GAS,
MOLOACAN-387,398,400,MR,17,SIN INFORMACION,39,ENCANTO,DESALOJO ACEITE CON 59% AGUA DULCE,
MOLOACAN-387,406,408,MR,22,SIN INFORMACION,23,ENCANTO,DESALOJO ACEITE CON 59% AGUA DULCE,
MOLOACAN-387,435,442,MR,18,SIN INFORMACION,22,ENCANTO,PRODUCTOR DE ACEITE CON B.M.,
MOLOACAN-388,299,306,MR,12,SIN INFORMACION,19,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-388,312,317,MR,12,SIN INFORMACION,22,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-388,321,327,MR,18,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-388,405,413,MR,22,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-388,448,454,MR,22,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-389,303,306,MR,21,SIN INFORMACION,37,ENCANTO,ACEITE MUY VISCOSO / BAJA RECUPERACION,
MOLOACAN-389,315,317,MR,22,SIN INFORMACION,38,ENCANTO,AGUA SALADA 163800 PPM,
MOLOACAN-390,434,448,MR,25,SIN INFORMACION,30,ENCANTO,OPERABA CON BM,
MOLOACAN-391,305,310,MR,12,SIN INFORMACION,14,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-394,505,509,MR,20,SIN INFORMACION,38,ENCANTO,OPERABA CON BM,
MOLOACAN-394,486,500,MR,22,SIN INFORMACION,30,ENCANTO,OPERABA CON BM,
MOLOACAN-395,350,352,MR,15,SIN INFORMACION,48,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-395,385,387,MR,17,SIN INFORMACION,31,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-395,448,451,MR,15,SIN INFORMACION,31,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-395,462,475,MR,18,SIN INFORMACION,35,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-395,497,507,MR,19,SIN INFORMACION,20,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
