NOMBRE DE POZO,TIPO DE TERMINACION,CIMA DE INTERVALO,BASE DE INTERVALO,"PROGRAMA
",NOMBRE DEL YACIMIENTO,ESTADO ACTUAL DEL INTERVALO,CIMA DISPARO,BASE DISPARO,FECHA DE DISPARO,FECHA DE CIERRE,TIPO DE PISTOLA,DIAMETRO DE LA PISTOLA,DENSIDAD DE CARGA,LONGITUD DEL DISPARO,FASE DEL DISPARO,DIAMETRO DEL DISPARO
MOLOACAN-121,INTERVALO DISPARADO,503.5,505,TERMINACION,ENCANTO,AISLADO TXC,503.5,505,25/06/1949,11/06/1976,MC COLLOUGH,3.5,SIN INFORMACION,1.5,SIN INFORMACION,0.5
MOLOACAN-121,INTERVALO DISPARADO,464,466,REPARACION,ENCANTO,AISLADO TXC,464,466,16/06/1949,21/06/1984,CJ,1.6875,13,2,90,SIN INFORMACION
MOLOACAN-121,INTERVALO DISPARADO,455,460,REPARACION,ENCANTO,AISLADO TXC,455,460,16/06/1949,21/06/1984,CJ,1.6875,13,5,90,SIN INFORMACION
MOLOACAN-121,INTERVALO DISPARADO,460,464,REPARACION,ENCANTO,AISLADO TXC,460,464,17/06/1984,21/06/1984,CJ,1.5625,SIN INFORMACION,4,0,SIN INFORMACION
MOLOACAN-121,INTERVALO DISPARADO,320,323,REPARACION,ENCANTO,ABIERTO,320,323,24/06/1984,SIN INFORMACION,CJ,1.6875,13,3,90,SIN INFORMACION
MOLOACAN-122,INTERVALO DISPARADO,565,568,TERMINACION,ENCANTO,CEMENTADO,565,568,27/08/1949,31/08/1949,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,3,SIN INFORMACION,0.25
MOLOACAN-122,INTERVALO DISPARADO,565.5,567,TERMINACION,ENCANTO,AISLADO TXC,565.5,567,04/09/1949,13/09/1949,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,1.5,SIN INFORMACION,0.25
MOLOACAN-122,INTERVALO DISPARADO,356,357.5,TERMINACION,ENCANTO,CEMENTADO,356,357.5,15/09/1949,23/02/1975,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,1.5,SIN INFORMACION,0.25
MOLOACAN-122,INTERVALO DISPARADO,351.5,356,TERMINACION,ENCANTO,CEMENTADO,351.5,356,19/09/1949,23/02/1975,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,4.5,SIN INFORMACION,0.25
MOLOACAN-122,INTERVALO DISPARADO,526,529,REPARACION,ENCANTO,CEMENTADO,526,529,09/03/1975,SIN INFORMACION,CJ,1.6875,13,3,90,SIN INFORMACION
MOLOACAN-122,INTERVALO DISPARADO,514,523,REPARACION,ENCANTO,CEMENTADO,514,523,09/03/1975,SIN INFORMACION,CJ,1.6875,13,9,90,SIN INFORMACION
MOLOACAN-122,INTERVALO DISPARADO,479,483,REPARACION,ENCANTO,CEMENTADO,479,483,09/03/1975,SIN INFORMACION,CJ,1.6875,13,4,90,SIN INFORMACION
MOLOACAN-131,INTERVALO DISPARADO,380,382,TERMINACION,ENCANTO,CEMENTADO,380,382,08/12/1966,09/12/1966,BJ,4,SIN INFORMACION,2,SIN INFORMACION,SIN INFORMACION
MOLOACAN-131,INTERVALO DISPARADO,372,378,TERMINACION,ENCANTO,CEMENTADO,372,378,11/12/1966,17/06/2004,CJ,1.6875,13,6,90,0.31
MOLOACAN-132,INTERVALO DISPARADO,513,516,TERMINACION,ENCANTO,CEMENTADO,513,516,01/08/1949,01/08/1949,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,3,SIN INFORMACION,SIN INFORMACION
MOLOACAN-132,INTERVALO DISPARADO,517.5,519,TERMINACION,ENCANTO,CEMENTADO,517.5,519,01/08/1949,01/08/1949,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,1.5,SIN INFORMACION,SIN INFORMACION
MOLOACAN-132,INTERVALO DISPARADO,351,352.5,TERMINACION,ENCANTO,CEMENTADO,351,352.5,01/08/1949,01/08/1949,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,1.5,SIN INFORMACION,SIN INFORMACION
MOLOACAN-132,INTERVALO DISPARADO,330.5,332,TERMINACION,ENCANTO,CEMENTADO,330.5,332,01/08/1949,01/08/1949,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,1.5,SIN INFORMACION,SIN INFORMACION
MOLOACAN-132,INTERVALO DISPARADO,338.5,343,TERMINACION,ENCANTO,OPERASIN INFORMACIONO,338.5,343,01/08/1949,OPERANDO,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,4.5,SIN INFORMACION,0.25
MOLOACAN-132,INTERVALO DISPARADO,343.5,347,TERMINACION,ENCANTO,OPERASIN INFORMACIONO,343.5,347,01/08/1949,OPERANDO,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,3.5,SIN INFORMACION,0.25
MOLOACAN-132,INTERVALO DISPARADO,514.5,516,TERMINACION,ENCANTO,AISLADO TXC,514.5,516,01/08/1949,07/06/1975,CJ,1.6875,13,1.5,90,0.31
MOLOACAN-132,INTERVALO DISPARADO,354,366,REPARACION,ENCANTO,OPERASIN INFORMACIONO,354,366,11/06/1975,OPERANDO,CJ,1.6875,13,12,90,0.31
MOLOACAN-133,INTERVALO DISPARADO,271,277,TERMINACION,ENCANTO,SIN INFORMACION,271,277,10/09/1949,SIN INFORMACION,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,6,SIN INFORMACION,0.25
MOLOACAN-1400,INTERVALO DISPARADO,928,937,TERMINACION,ENCANTO,CEMENTADO,928,937,17/08/1973,23/10/1978,CJ,1.6875,13,9,90,0.31
MOLOACAN-1400,INTERVALO DISPARADO,917,922,REPARACION,ENCANTO,CEMENTADO,917,922,30/11/1975,23/10/1978,CJ,1.6875,13,5,90,SIN INFORMACION
MOLOACAN-1400,INTERVALO DISPARADO,871,878,REPARACION,ENCANTO,AISLADO TXC,871,878,26/10/1978,06/12/1979,CJ,1.6875,13,7,90,SIN INFORMACION
MOLOACAN-1400,INTERVALO DISPARADO,871,878.5,REPARACION,ENCANTO,AISLADO TXC,871,878.5,28/10/1978,06/12/1979,CJ,1.6875,13,7.5,90,SIN INFORMACION
MOLOACAN-1400,INTERVALO DISPARADO,811,813,REPARACION,ENCANTO,ABIERTO,811,813,11/12/1979,SIN INFORMACION,CJ,1.6875,13,2,90,SIN INFORMACION
MOLOACAN-142,INTERVALO DISPARADO,311,314,TERMINACION,ENCANTO,CEMENTADO,311,314,22/02/1950,25/04/2002,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,3,SIN INFORMACION,0.25
MOLOACAN-142,INTERVALO DISPARADO,279,284,TERMINACION,ENCANTO,CEMENTADO,279,284,28/02/1950,25/04/2002,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,5,SIN INFORMACION,0.25
MOLOACAN-15,INTERVALO DISPARADO,197,200,TERMINACION,ENCANTO,CEMENTADO,197,200,04/02/1949,07/12/2005,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,3,SIN INFORMACION,0.25
MOLOACAN-15,INTERVALO DISPARADO,193,196,TERMINACION,ENCANTO,CEMENTADO,193,196,04/02/1949,07/12/2005,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,3,SIN INFORMACION,0.25
MOLOACAN-166,INTERVALO DISPARADO,519,525,TERMINACION,ENCANTO,CEMENTADO,519,525,14/02/1974,29/04/2012,CJ,1.6875,13,6,90,SIN INFORMACION
MOLOACAN-186,INTERVALO DISPARADO,508,521,TERMINACION,ENCANTO,ABIERTO,508,521,01/11/1974,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,13,SIN INFORMACION,SIN INFORMACION
MOLOACAN-192,INTERVALO DISPARADO,373,385,TERMINACION,ENCANTO,AISLADO TXC,373,385,22/09/1974,23/09/1974,CJ,1.6875,13,12,90,SIN INFORMACION
MOLOACAN-192,INTERVALO DISPARADO,289,299,TERMINACION,ENCANTO,AISLADO TXC,289,299,24/09/1974,02/07/1977,CJ,1.6875,13,10,90,SIN INFORMACION
MOLOACAN-192,INTERVALO DISPARADO,217,221,REPARACION,ENCANTO,CEMENTADO,217,221,12/12/1975,28/02/2002,CJ,1.6875,13,4,90,SIN INFORMACION
MOLOACAN-192,INTERVALO DISPARADO,225,240,REPARACION,ENCANTO,CEMENTADO,225,240,08/05/1976,28/02/2002,CJ,1.6875,13,15,90,SIN INFORMACION
MOLOACAN-192,INTERVALO DISPARADO,217,221,REPARACION,ENCANTO,CEMENTADO,217,221,09/05/1976,28/02/2002,CJ,1.6875,13,4,90,SIN INFORMACION
MOLOACAN-192,INTERVALO DISPARADO,225,240,REPARACION,ENCANTO,CEMENTADO,225,240,09/05/1976,28/02/2002,CJ,1.6875,13,15,90,SIN INFORMACION
MOLOACAN-2,INTERVALO DISPARADO,424,431,TERMINACION,ENCANTO,AISLADO TXC,424,431,16/10/1948,15/02/1980,MC COLLOUGH,3.5,SIN INFORMACION,7,SIN INFORMACION,0.5
MOLOACAN-2,INTERVALO DISPARADO,310,319,REPARACION,ENCANTO,AISLADO TXC,310,319,17/02/1980,19/02/1980,LINK,1.6875,13,9,SIN INFORMACION,SIN INFORMACION
MOLOACAN-2,INTERVALO DISPARADO,299,300,REPARACION,ENCANTO,CEMENTADO,299,300,20/02/1980,22/02/1980,CJ,1.6875,13,1,90,SIN INFORMACION
MOLOACAN-2,INTERVALO DISPARADO,285,290,REPARACION,ENCANTO,AISLADO TXC,285,290,27/02/1980,02/03/1980,CJ,1.6875,13,1,90,SIN INFORMACION
MOLOACAN-21,INTERVALO DISPARADO,344,353,TERMINACION,ENCANTO,CEMENTADO,344,353,15/06/1949,18/06/1949,MC COLLOUGH,3.5,SIN INFORMACION,9,SIN INFORMACION,0.5
MOLOACAN-21,INTERVALO DISPARADO,347.5,350.5,TERMINACION,ENCANTO,CEMENTADO,347.5,350.5,22/06/1949,30/06/1949,MC COLLOUGH,3.5,SIN INFORMACION,3,SIN INFORMACION,0.5
MOLOACAN-21,INTERVALO DISPARADO,346.5,348,TERMINACION,ENCANTO,AISLADO TXC,346.5,348,06/07/1949,18/06/1976,MC COLLOUGH,3.5,SIN INFORMACION,1.5,SIN INFORMACION,0.5
MOLOACAN-21,INTERVALO DISPARADO,348,349.5,TERMINACION,ENCANTO,AISLADO TXC,348,349.5,10/07/1949,18/06/1976,MC COLLOUGH,3.5,SIN INFORMACION,1.5,SIN INFORMACION,0.5
MOLOACAN-21,INTERVALO DISPARADO,275,286,TERMINACION,ENCANTO,CEMENTADO,275,286,19/06/1976,30/04/2004,CJ,1.6875,13,9,90,SIN INFORMACION
MOLOACAN-25,INTERVALO DISPARADO,232,236.5,TERMINACION,ENCANTO,CEMENTADO,232,236.5,21/02/1949,17/04/2004,MC COLLOUGH,3.5,SIN INFORMACION,4.5,SIN INFORMACION,0.5
MOLOACAN-292,INTERVALO DISPARADO,482,483.5,SIN INFORMACION,ENCANTO,CEMENTADO,482,483.5,SIN INFORMACION,13/11/2006,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION
MOLOACAN-292,INTERVALO DISPARADO,504,507,SIN INFORMACION,ENCANTO,CEMENTADO,504,507,SIN INFORMACION,13/11/2006,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION
MOLOACAN-292,INTERVALO DISPARADO,534,538,TERMINACION,ENCANTO,CEMENTADO,534,538,18/11/1974,13/11/2006,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION
MOLOACAN-3,INTERVALO DISPARADO,230,250,TERMINACION,ENCANTO,CEMENTADO,230,250,13/11/1948,15/05/2004,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION
MOLOACAN-303,INTERVALO DISPARADO,321,325,TERMINACION,ENCANTO,AISLADO TXC,321,325,26/04/1949,19/07/1949,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION
MOLOACAN-303,INTERVALO DISPARADO,248.7,249,REPARACION,ENCANTO,CEMENTADO,248.7,249,20/07/1972,06/06/2002,CJ,1.6875,13,0.3,90,SIN INFORMACION
MOLOACAN-303,INTERVALO DISPARADO,243,249,REPARACION,ENCANTO,CEMENTADO,243,249,21/07/1972,06/06/2002,SCALLOP,1.5625,SIN INFORMACION,6,SIN INFORMACION,SIN INFORMACION
MOLOACAN-303,INTERVALO DISPARADO,215,225,REPARACION,ENCANTO,CEMENTADO,215,225,07/04/1973,06/06/2002,CJ,1.6875,13,10,90,SIN INFORMACION
